Kategori;Poz No;Taným;Birim;2025 Birim Fiyat (TL)
ELEKTRÝK;101201381;Kayar Kalýplý Çok Amaçlý Beton Finiþeri (Beton bordür, Beton bariyer, V Hendek, Tünel içi beton kablo kanalý ve kadýrýmý imalatý) (130 HP);;20000000.00
ZEMÝN & DUVAR KAPLAMA;101301007;Ýnce sýva veya derz kumu (elenmiþ ve yýkanmýþ);;345.00
ZEMÝN & DUVAR KAPLAMA;101301027;Ýnce sýva veya derz kumu (Elenmiþ ve yýkanmýþ) (makina ile temin)(19.100.2007) (mazot miktarýnýn %57'si alýnmýþ fiyatý);;343.92
BOYA & ALÇI;101301708;Sýcak haddelenmiþ profil demirler (S235 JR) (I-U-T-Omega) (TS 910, TS 911 EN 10055, TS 912);;22.50
BOYA & ALÇI;101301709;Sýcak haddelenmiþ köþebentler (S235 JR) (TS EN 10056-1,2);;22.50
BOYA & ALÇI;101301710;Çelik palplanj profili;;29350.00
ELEKTRÝK;101301753;Çelik hasýr (Nervürlü) (Kanalet hasýrlarý) (TS 4559);;22.80
KAPI & PENCERE;101302017;190 x 190 x 135 mm yatay delikli kilitli tuðla;;5.40
KAPI & PENCERE;101302018;240 x 250 x 135 mm yatay delikli kilitli tuðla;;9.85
SIHHÝ TESÝSAT;101302622;15 cm yükseklikte gazbeton asmolen bloðu;;262.31
SIHHÝ TESÝSAT;101302623;17,5 cm yükseklikte gazbeton asmolen bloðu;;306.03
SIHHÝ TESÝSAT;101302624;20 cm yükseklikte gazbeton asmolen bloðu;;349.75
SIHHÝ TESÝSAT;101302625;22,5 cm yükseklikte gazbeton asmolen bloðu;;393.47
SIHHÝ TESÝSAT;101302626;25 cm yükseklikte gazbeton asmolen bloðu;;437.19
SIHHÝ TESÝSAT;101302627;27,5 cm yükseklikte gazbeton asmolen bloðu;;480.91
SIHHÝ TESÝSAT;101302628;30 cm yükseklikte gazbeton asmolen bloðu;;524.63
SIHHÝ TESÝSAT;101302931;20 cm yükseklikte bimsbeton asmolen bloðu;;142.00
SIHHÝ TESÝSAT;101302932;22 cm yükseklikte bimsbeton asmolen bloðu;;157.00
SIHHÝ TESÝSAT;101302933;23 cm yükseklikte bimsbeton asmolen bloðu;;164.00
SIHHÝ TESÝSAT;101302934;25 cm yükseklikte bimsbeton asmolen bloðu;;178.00
SIHHÝ TESÝSAT;101302935;28 cm yükseklikte bimsbeton asmolen bloðu;;195.00
SIHHÝ TESÝSAT;101302936;30 cm yükseklikte bimsbeton asmolen bloðu;;215.00
SIHHÝ TESÝSAT;101302937;32 cm yükseklikte bimsbeton asmolen bloðu;;229.00
SIHHÝ TESÝSAT;101302938;35 cm yükseklikte bimsbeton asmolen bloðu;;246.00
BOYA & ALÇI;101303251;8 cm kalýnlýðýnda, boþluklu alçý blok;;144.00
BOYA & ALÇI;101303252;10 cm kalýnlýðýnda, boþluklu alçý blok;;166.00
BOYA & ALÇI;101304103;Beton kiremit (demir oksit boyalý);;148.00
BOYA & ALÇI;101304104;Beton mahya kiremiti (demir oksit boyalý);;99.00
BOYA & ALÇI;101304105;Beton kiremit (demir oksit boyalý-üzeri renkli sýrlý);;178.00
BOYA & ALÇI;101304106;Beton mahya kiremiti (demir oksit boyalý-üzeri renkli sýrlý);;125.00
BOYA & ALÇI;101304123;Perlitli beton kiremit (demir oksit boyalý);;120.00
BOYA & ALÇI;101304124;Perlitli beton mahya kiremiti (demir oksit boyalý);;77.00
BOYA & ALÇI;101304125;Perlitli beton kiremit (demir oksit boyalý-üzeri renkli sýrlý);;148.00
BOYA & ALÇI;101304126;Perlitli beton mahya kiremiti (demir oksit boyalý-üzeri renkli sýrlý);;112.00
BOYA & ALÇI;101304201;Aþýk taþýma profili (Yükseklik ayarlý-Alüminyum);;29.00
KAPI & PENCERE;101304204;Duvar/baca dibi bandý (Polibitülen/vulkanize termoplastik (tpv) kaplý, alüminyum ile güçlendirilmiþ, kendinden yapýþkanlý, UV dayanýmlý - 25/40 cm geniþlikte);;255.00
KAPI & PENCERE;101304205;Duvar/baca dibi bandý (Polibitülen/vulkanize termoplastik (tpv) kaplý, alüminyum ile güçlendirilmiþ, kendinden yapýþkanlý, UV dayanýmlý - 50/60 cm geniþlikte);;524.00
SIHHÝ TESÝSAT;101304206;Alüminyum baský çýtasý (6cm geniþlikte - her renkte);;48.00
ELEKTRÝK;101304207;PVC esaslý, kendinden kanallý, UV dayanýmlý, kanatlý oluk/vadidere su yalýtýmý (min. 50 cm geniþlikte - her renkte);;205.00
ELEKTRÝK;101304208;Alüminyumdan mamul, kendinden kanallý, UV dayanýmlý, kanatlý oluk/vadidere su yalýtýmý (min. 50 cm geniþlikte - her renkte);;164.00
ZEMÝN & DUVAR KAPLAMA;101304607;I kesitli ahþap kiriþ (alt ve üst baþlýklar min. 40x80 mm);;230.00
SIHHÝ TESÝSAT;101305901;5 cm sabit yükseklikte kör kalýp sistemleri;;240.00
SIHHÝ TESÝSAT;101305902;10 cm sabit yükseklikte kör kalýp sistemleri;;250.00
SIHHÝ TESÝSAT;101305903;15 cm sabit yükseklikte kör kalýp sistemleri;;260.00
ELEKTRÝK;101601002;Emülsiyon türü patlayýcý (Kapsüle duyarlý,suya dayanýklý);;21.75
ELEKTRÝK;101601003;Amonyum nitrat,fuel-oil karýþýmý (Kapsüle duyarsýz);;21.45
KAPI & PENCERE;101601004;Fitil (Katranlý, Emniyetli, Ýnfilaklý);;6.30
ZEMÝN & DUVAR KAPLAMA;101701251;5-6 mm kalýnlýkta, AC 4 Sýnýf 32 Sudan Etkilenmeyen PVC Parke Heterojen Grup T (TS EN ISO 10581);;550.00
ZEMÝN & DUVAR KAPLAMA;101701401;Meþe ve diðer yapraklý (sert) aðaç türlerinde, daire, kare ve üçgen sýnýflarýnda, çok tabakalý parke elemaný. (Tip:1) (TS EN 13489);;825.00
ZEMÝN & DUVAR KAPLAMA;101701402;Meþe ve diðer yapraklý (sert) aðaç türlerinde, serbest sýnýfýnda, çok tabakalý parke elemaný. (Tip:4) (TS EN 13489);;909.00
BOYA & ALÇI;101702004;Tavanlýk, delikli (40X40 cm) 3.0 mm kalýnlýkta;;17.10
BOYA & ALÇI;101702005;Tavanlýk, delikli boyalý (40X40 cm) 3.0 mm kalýnlýkta;;24.75
BOYA & ALÇI;101702006;Tavanlýk, delikli (40X80 cm) 3.0 mm kalýnlýkta;;23.25
BOYA & ALÇI;101702007;Tavanlýk, delikli boyalý (40X80 cm) 3.0 mm kalýnlýkta;;34.50
BOYA & ALÇI;102001302;Sýcak daldýrma galvaniz üzeri boyalý düz sac Fabrikasyon rulo boyama sistemi ile boyanmýþ (Dýþa bakan yüzeyi min. 5  mikron, epoksi astar ve üstü min.20 mikron polyester son kat boya içe bakan yüzeyi  min. 5 mikron epoksi astar);;42.50
BOYA & ALÇI;102001304;Sýcak daldýrma galvaniz üzeri boyalý oluklu/trapez sac. Fabrikasyon rulo boyama sistemi ile boyanmýþ (Dýþa bakan yüzeyi min. 5 mikron epoksi astar ve üstü min. 20 mikron polyester son kat boya içe bakan yüzeyi min. 5 mikron epoksi astar);;43.90
BOYA & ALÇI;102001402;Sýcak daldýrma galvalume üzeri boyalý düz sac. Fabrikasyon rulo boyama sistemi ile boyanmýþ (Dýþa bakan yüzeyi min. 5 mikron epoksi astar ve üstü min. 20 mikron polyester son kat boya içe bakan yüzeyi min. 5 mikron epoksi astar);;40.30
BOYA & ALÇI;102001404;Sýcak daldýrma galvalume üzeri boyalý oluklu/trapez sac. Fabrikasyon rulo boyama sistemi ile boyanmýþ (Dýþa bakan yüzeyi min. 5 mikron epoksi astar ve üstü min. 20 mikron polyester son kat boya içe bakan yüzeyi min. 5 mikron epoksi astar);;43.80
SIHHÝ TESÝSAT;102001601;1.4301 (AISI 304) kalite paslanmaz çubuk;;93.50
SIHHÝ TESÝSAT;102001602;1.4401 (AISI 316) kalite paslanmaz çubuk;;130.00
SIHHÝ TESÝSAT;102001603;1.4301 (AISI 304) kalite paslanamaz sac;;91.00
SIHHÝ TESÝSAT;102001604;1.4401 (AISI 316) kalite paslanmaz sac;;121.00
SIHHÝ TESÝSAT;102001605;1.4301 (AISI 304) kalite paslanamaz boru;;108.00
SIHHÝ TESÝSAT;102001606;1.4401 (AISI 316) kalite paslanmaz boru;;162.00
SIHHÝ TESÝSAT;102001607;1.4301 (AISI 304) kalite paslanamaz profil;;104.00
BOYA & ALÇI;102002001;Alüminyum profiller;;143.00
BOYA & ALÇI;102002002;Natürel-mat eloksallý alüminyum profil;;163.00
BOYA & ALÇI;102002003;Naturel-(parlak veya kumlanmýþ veya satinajlý) ve eloksallý alüminyum profil;;190.00
BOYA & ALÇI;102002004;Renkli-mat eloksallý alüminyum profil;;163.00
BOYA & ALÇI;102002005;Renkli-(parlak veya kumlanmýþ) ve eloksallý alüminyum profil;;166.00
BOYA & ALÇI;102002006;Elektrostatik toz boyalý alüminyum profil;;189.00
BOYA & ALÇI;102002012;Natürel-mat eloksallý, ýsý yalýtýmlý alüminyum profil;;194.00
BOYA & ALÇI;102002013;Naturel-(parlak veya kumlanmýþ) ve eloksallý ýsý yalýtýmlý alüminyum profil;;197.00
BOYA & ALÇI;102002014;Renkli-mat eloksallý,ýsý yalýtýmlý alüminyum profil;;190.00
BOYA & ALÇI;102002015;Renkli-(parlak veya kumlanmýþ) eloksallý ýsý yalýtýmlý alüminyum profil;;197.00
BOYA & ALÇI;102002016;Elektrostatik toz boyalý ýsý yalýtýmlý alüminyum profil;;190.00
BOYA & ALÇI;102002022;Natürel-mat ve eloksallý PVC yalýtýmlý alüminyum profil;;163.00
BOYA & ALÇI;102002023;Natürel-(parlak veya kumlanmýþ veya satinajlý) ve eloksallý PVC yalýtýmlý alüminyum profil;;168.00
BOYA & ALÇI;102002024;Renkli-mat ve eloksallý PVC yalýtýmlý alüminyum profil;;168.00
BOYA & ALÇI;102002025;Renkli-(parlak veya kumlanmýþ) ve eloksallý PVC yalýtýmlý alüminyum profil;;177.00
BOYA & ALÇI;102002026;Elektrostatik toz boyalý PVC yalýtýmlý alüminyum profil;;177.00
BOYA & ALÇI;102002401;Alüminyum Kompozit Panel (0.50 mm + 3 mm +0,50 mm) 0,50mm kalýnlýktaki alüminyum levhanýn (EN AW 5000 serisi) görünen dýþ yüzü min.8 mikron epoksi astar üzeri min.22 mikron PVDF (kaynar 500>%70) son kat boya, arasý 3mm polietilen dolgulu 0,50 kalýnlýktaki alüminyum levha, yapýþma mukavemeti min.100N/cm, (yangýn Sýnýfý en az C s3 d2);;668.00
BOYA & ALÇI;102002411;Alüminyum Kompozit Panel (0,50 mm + 3 mm +0,50 mm) 0,50 mm kalýnlýktaki (EN AW 3000 serisi) alüminyum levhalarýn arasý 3 mm kalýnlýkta mineral dolgulu. Alüminyum levhalarýn görünen dýþ yüzü min.28 mikron kalýnlýkta PVDF boyalý, alüminyum levhalar ve dolgu arasý astar boyalý kompozit panel (yangýn Sýnýfý :A2 s1 d0);;1289.00
KAPI & PENCERE;102002451;Alüminyum trifon takýmý;;5.08
KAPI & PENCERE;102002452;Alüminyum pop perçin;;0.41
KAPI & PENCERE;102002501;Külçe alüminyum;;104.12
BOYA & ALÇI;102002853;Bakýrdan yapýlmýþ muhtelif profil ve levhalar (TS EN 1652);;370.00
SIHHÝ TESÝSAT;102002861;Pirinçten mamül borular;;259.00
BOYA & ALÇI;102003001;Tavan C 60 profilli en az 60x27 mm ebatlarýnda ve 0.50 mm kalýnlýkta, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (TC60);;17.20
BOYA & ALÇI;102003002;Tavan C 60 profilli en az 60x27 mm ebatlarýnda ve 0.60 mm kalýnlýkta, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (TC60);;23.40
BOYA & ALÇI;102003003;Tavan U 28 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 27 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (TU28);;11.70
BOYA & ALÇI;102003004;Tavan U 28 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 27 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (TU28);;13.20
BOYA & ALÇI;102003005;Duvar C 50 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC50);;24.60
BOYA & ALÇI;102003006;Duvar C 50 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC50);;30.00
BOYA & ALÇI;102003007;Duvar C 75 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC75);;29.40
BOYA & ALÇI;102003008;Duvar C 75 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC75);;34.20
BOYA & ALÇI;102003009;Duvar C 100 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC100);;33.40
BOYA & ALÇI;102003010;Duvar C 100 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC100);;39.80
BOYA & ALÇI;102003011;Duvar U 50 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU50);;17.40
BOYA & ALÇI;102003012;Duvar U 50 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU50);;24.60
BOYA & ALÇI;102003013;Duvar U 75 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU75);;21.50
BOYA & ALÇI;102003014;Duvar U 75 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU75);;29.60
BOYA & ALÇI;102003015;Duvar U 100 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU100);;26.00
BOYA & ALÇI;102003016;Duvar U 100 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU100);;34.80
BOYA & ALÇI;102013001;Tavan U 28 profilli 0.55 mm kalýnlýkta, yanak yüksekliði en az 27 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?100N/mm2 olan sacdan mamul, ?Z100 (TU28);;11.70
BOYA & ALÇI;102013002;Tavan C 60 profilli en az 60x27 mm ebatlarýnda ve 0.55 mm kalýnlýkta, sýcak daldýrma galvanizli, akma dayanýmý en az ?100N/mm2 olan sacdan mamul, ?Z100 (TC60);;20.30
BOYA & ALÇI;102013003;Duvar C 50 profilli 0.55 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?100N/mm2 olan sacdan mamul, ?Z100 (DC50);;25.75
BOYA & ALÇI;102013004;Duvar C 50 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DC50);;39.00
BOYA & ALÇI;102013005;Duvar C 75 profilli 0.55 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?100N/mm2 olan sacdan mamul, ?Z100 (DC75);;29.60
BOYA & ALÇI;102013006;Duvar C 75 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DC100);;46.00
BOYA & ALÇI;102013007;Duvar C 100 profilli 0.55 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?100N/mm2 olan sacdan mamul, ?Z100 (DC100);;33.80
BOYA & ALÇI;102013008;Duvar C 100 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DC100);;60.20
BOYA & ALÇI;102013009;Duvar C 125 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC125);;37.80
BOYA & ALÇI;102013010;Duvar C 125 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC125);;41.40
BOYA & ALÇI;102013011;Duvar C 125 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DC125);;65.50
BOYA & ALÇI;102013012;Duvar C 150 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC150);;39.00
BOYA & ALÇI;102013013;Duvar C 150 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DC150);;45.20
BOYA & ALÇI;102013014;Duvar C 150 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 47 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DC150);;70.80
BOYA & ALÇI;102013015;Duvar U 125 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU125);;31.20
BOYA & ALÇI;102013016;Duvar U 125 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU125);;36.00
BOYA & ALÇI;102013017;Duvar U 125 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DU125);;55.80
BOYA & ALÇI;102013018;Duvar U 150 profilli 0.50 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU150);;34.80
BOYA & ALÇI;102013019;Duvar U 150 profilli 0.60 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (DU150);;41.40
BOYA & ALÇI;102013020;Duvar U 150 profilli 0.90 mm kalýnlýkta, yanak yüksekliði en az 38 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275 (DU150);;63.60
BOYA & ALÇI;102023001;Duvar U 50 profilli 2 mm kalýnlýkta delikli, yanak yüksekliði en az 40 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (U50);;123.50
BOYA & ALÇI;102023002;Duvar U 75 profilli 2 mm kalýnlýkta delikli, yanak yüksekliði en az 40 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (U75);;144.00
BOYA & ALÇI;102023003;Duvar U 100 profilli 2 mm kalýnlýkta delikli, yanak yüksekliði en az 40 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100 (U100);;168.00
BOYA & ALÇI;102003021;Delikli köþe profili 0.35 mm kalýnlýkta, yanak yüksekliði en az 23 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100;;5.75
BOYA & ALÇI;102003022;Delikli köþe profili 0.40 mm kalýnlýkta, yanak yüksekliði en az 25 mm, sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z100;;6.72
KAPI & PENCERE;102003030;Agraf vidasý (karbon çeliðinden mamul, krom kaplý sivri uçlu her ebatta) kutu (500adet);;78.00
ZEMÝN & DUVAR KAPLAMA;102003031;Derz bandý (cam elyafýndan mamul, kendinden yapýþkanlý geniþlik:5cm);;0.78
BOYA & ALÇI;102013029;T profilli 0.90 mm kalýnlýkta sýcak daldýrma galvanizli, akma dayanýmý en az ?140N/mm2 olan sacdan mamul, ?Z275;;41.40
BOYA & ALÇI;102013030;Alüminyum delikli köþe profili 0.35 mm kalýnlýkta, yanak yüksekliði en az 23 mm;;4.80
ZEMÝN & DUVAR KAPLAMA;102013033;Derz bandý (cam elyafýndan mamul geniþlik:5 cm);;0.40
ZEMÝN & DUVAR KAPLAMA;102013034;Derz bandý (cam elyafýndan mamul, kendinden yapýþkanlý geniþlik:10 cm);;0.78
ZEMÝN & DUVAR KAPLAMA;102013035;Derz bandý (kaðýttan mamul:5cm);;0.78
BOYA & ALÇI;102003051;Gizli taþýyýcý profil (clip-in sistem) (min.0,50mm kalýnlýðýnda, sýcak daldýrma galvanizli sacdan mamul) (alüminyum ve metal asma tavanlar için);;12.90
BOYA & ALÇI;102003052;Gizli taþýyýcý profil (clip-in sistem) (min.0,60mm kalýnlýðýnda, sýcak daldýrma galvanizli sacdan mamul) (alüminyum ve metal asma tavanlar için);;13.75
BOYA & ALÇI;102003053;Gizli taþýyýcý alüminyum kenar C profili (min.1,00mm kalýnlýðýnda, her ebatta elektrostatik veya fabrikasyon boyalý);;21.85
BOYA & ALÇI;102003054;Gizli taþýyýcý sistemin sac kenar C profili (min.0,50mm kalýnlýðýnda, her ebatta sýcak daldýrma galvanize çelikten mamul, elektrostatik veya fabrikasyon boyalý);;16.70
